publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"I feel my heart physically ache when he asks ""You remember the last time I saw you?""",2019-11-14T07:19:50.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,too much filler in this movie for me but good message. respect,2019-11-14T02:19:29.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,i'm glad they got a chance to shed the light.,2019-11-12T23:55:41.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,yoooo this movie really changed me,2019-11-10T23:16:59.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"Far superior to that uncooked, unculture, unseasoned  trash white people version, call me by your name. The amount of flavor this has *chief kiss*",2019-11-09T20:03:04.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,It shocked the world when it won best picture coming out of nowhere such s small film winning best picture was an amazing acheivement,2019-11-09T19:53:15.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,Masterpiece,2019-11-09T02:53:53.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,i watched the trailer after i watched the movie (twice) and oh my lordd i love this movieeee,2019-11-07T20:05:25.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,2016 was a great year for great movies :),2019-11-06T16:26:06.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,I saw this movie and Unless you can relate to this movie it may be hard for you to understand this movie and for people of color  we have always seen and continue to see the racial injustice. Then to be a gay black male is 10 times worse. Into the black community we’re to to be and act a certain way .. to be masculine and straight and strong and if we’re not we’re wrong. This movie shows the struggle of finding ones self as a gay black male and struggling to fit in.,2019-11-06T06:18:04.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"The most touching line in this movie was the last one"" you are the only one who ever touched me""",2019-11-06T05:39:28.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"Watched it yesterday , no queries why this movie won an oscar",2019-11-06T05:37:53.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,Hands down one of the best trailers of all time.,2019-11-04T04:31:26.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,There's too too much gay overtones in these Black movies that the enemy promotes to our people just say no!!,2019-11-02T19:54:43.000Z,2
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"“What did you expect?”
Powerful",2019-10-31T23:22:38.000Z,1
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"La la land was good I loved it, but it didn’t have the same intensity as this did. I think what made la la land was the actual production of it not the acting or plot line. Not saying it was bad I mean I loved Emma Stone in that role but Moonlight has a different kind of sauce we’ve never seen on a big screen in the whole of cinematic history. This movie made me feel so much I’d put it up there next to The Colour Purple it was that deep",2019-10-31T06:17:29.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,Gay shit,2019-10-29T01:03:26.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,damn this gives me tears man,2019-10-27T04:26:01.000Z,0
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,Ha gay,2019-10-19T21:40:15.000Z,2
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"Spotlight uh, MOONLIGHT uh",2019-10-17T01:50:41.000Z,1
2016-08-11T15:00:01.000Z,9NJj12tJzqc,Moonlight | Official Trailer HD | A24,"Am  glad  they end up together, a of us from the Caribbean can relate to this movie  it's life.",2019-10-15T15:03:15.000Z,0
