publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Who is here after Action movie selfie review,2019-11-15T15:41:09.000Z,6
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,o kela.....ye Ben affleck seems like a twin brother of Scott adkins......they are dispersed from each other in childhood i think,2019-11-15T05:09:38.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"I heard the government of Iran filed a lawsuit against Columbia Pictures for this movie.  Hey Iran, how's that lawsuit going? One answer: nowhere. Hahahaha",2019-11-12T05:06:07.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,انقلاب ۵۷,2019-11-06T10:47:37.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Good movie but faked events,2019-11-04T16:30:41.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"Was I the only one who was thinking about “what about the other hostages?” “Were they already murdered by those dogs?” “How Many people will be offended that I called murderers dogs, and be offended just because of their race?”",2019-11-04T14:03:01.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,This was speculated to be a re-make of Fargo but chubby Benny ate the F and we're left with this crap.,2019-10-30T08:59:32.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,this is the movie that codmw copied,2019-10-30T01:47:29.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Hope that people go read about 444 days REAL stories... read about TABAS DESERT real stories not fake hits that the movie shows. Real Fake hits can be told by General Beckwith at pentagon not by Ben Affleck at Argo.,2019-10-16T06:59:23.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,You realize this is a true story a?,2019-10-16T03:41:49.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"""Say my name.""


""I'm Batman.""


""You're goddamn right.""",2019-10-05T08:38:43.000Z,10
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Came because of Andrew 🤷‍♀️,2019-09-16T04:55:01.000Z,2
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"The movie starts during the the kidnappings are forgot to tell you why this happened. Iran was a democracy and a great country, but the United States overthrew their Democratic elected President and installed a dictator. 
This dictator was giving America Free Oil, Opened up a U.S. Embassy, and basically selling Iran out to the United States. 

The Iranians had enough and decided to remove the dictator and charge him with treason against Iran, but he disappeared! The next day he is all over television smiling and laughing! The Iranians demanded the United States to give him back so that he could be charged but the U.S. refused! THIS IS WHY IRANIANS KIDNAPPED THE AMERICANS AT THE EMBASSY, FED THEM DAILY, ALLOWED THEM TO HAVE ENTERTAINMENT, DID NOT HURT THE HAIR ON ONE OF THE AMERICAN HOSTAGES HEADS IF U COULD EVEN CALL THEM HOSTAGES!!!!!

So this movie is a fraud! The movie never explains why they kidnapped the people at the embassy! The Embassy workers even opened fire on the Iranians but the Iranians never hurt any of them!",2019-09-08T14:23:07.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Intense af,2019-09-07T11:47:09.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"Aerosmith, dream on 😍",2019-09-05T15:12:00.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Hey there ! How to download this movie with dual audio (English and Hindi).  ???,2019-09-02T13:03:38.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,درخواست داریم از شرکت یوتیوب  فلم کامل آرگو  دوبله فارسی متشکرم,2019-08-31T18:53:48.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"من ایرانیم ، من 20 ساله هستم ، من 40 سال پیش نبودم و من انقلاب نکردم و من یک قربانی از میلیون ها قربانی سیاست کثیفی هستم که خدا میداند که چه کسی و کجا و چه زمانی تصمیم گرفت ایران رو تو این بحران 40 ساله قرار بده و از همه مهم تر دنیا صدای من را نمی شنود 
من و هم سن و سالهای من گیر یک سری آخوند تروریست افتادیم در حالی که دنیا سعی داره حماقت 40 سال پیش رو بندازد گردن ایرانی ها
دنیا صدای من را نمیشنود و من میدانم آینده ای خواهد آمد تا حقیقتی را به جهانیان بشناساند 
جمهوری اسلامی ایران یکی از نظام های کثیف دیکتاتوری که سرنوشتش همانند دیکاتور های دیگر تاریخ رقم خواهد خورد.

مرگ بر آخوند

دنبال قربانیان اصلی سال 1979 باشید لطفاً",2019-08-23T16:43:40.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"Stupid Iranians they thought they could twist American arm , NO ONE CAN",2019-08-23T15:01:57.000Z,1
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"Christ, did this screenplay really win an Oscar? Could the dialogue be any more cliche?",2019-08-06T15:29:56.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Gonna watch this just for Mr. White.,2019-08-05T18:07:39.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,jonna mendez(former CIA chief  of disguise) led me here from wired. its her husbands true mission story.,2019-07-17T10:25:02.000Z,49
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,One of the most intense movie of all time,2019-07-11T06:27:32.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"America: takes a sh*t
Dumb fans:
Awesomely wonderfully spectacularly amazingly..........",2019-07-01T13:06:56.000Z,2
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,اريد اشوفه كامل ماكو,2019-06-26T13:01:39.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"That is not true about Pahlavi kingdom, he was really great and tried to make Iran a modern country. He had the most powerfell country in middle east at that time. He managed to control oil price in the world, thats why America and England planed that reveloution in Iran.",2019-06-22T00:13:24.000Z,3
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,argofuck yourself,2019-06-08T08:46:56.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Great actor deserve great award like Ben affleck,2019-06-06T09:46:42.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"They weren't makin' a movie, oh, no 😐
They're makin' History, oh yeah 😎",2019-06-13T08:18:36.000Z,2
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,Adam and Eve were Americans,2019-05-31T12:04:14.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,2019 ?????,2019-05-17T20:20:12.000Z,3
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,What is your problem holleywood with Iranian PEOPLE?,2019-05-14T08:43:12.000Z,2
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,I just saw the whole film in a trailer,2019-05-05T14:42:31.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,¿Do you think this film deserved the Best Picture Oscar it won?,2019-04-12T20:34:10.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,It is the advent of cooperation.,2019-04-10T22:06:04.000Z,0
2012-05-08T16:47:26.000Z,JW3WfSFgrVY,Argo Official Trailer #1 (2012) Ben Affleck Thriller Movie HD,"Alas, people get all warped out of shape about the horrors of this movie, and how the USA was just as bad.  I'd say most of this movie is at least some part of artistic license.",2019-04-09T16:07:32.000Z,0
